ID,Destination_Places_ID,Source_Places_ID,TransportType,TransportDate,Places
1,59,1,Plane,2022-06-17,14
2,59,1,Plane,2022-06-09,13
3,59,1,Plane,2022-06-01,12
4,59,1,Plane,2022-06-16,10
5,59,1,Plane,2022-06-27,11
6,59,1,Plane,2022-06-06,14
7,59,1,Plane,2022-06-03,10
8,59,1,Plane,2022-06-20,15
9,59,1,Plane,2022-06-11,13
10,59,1,Plane,2022-06-26,13
11,59,1,Plane,2022-06-21,13
12,59,1,Plane,2022-06-08,13
13,59,1,Plane,2022-06-10,10
14,59,1,Plane,2022-06-19,10
15,59,1,Plane,2022-06-15,13
16,59,1,Plane,2022-06-05,14
17,59,1,Plane,2022-06-02,13
18,59,1,Plane,2022-06-24,11
19,59,1,Plane,2022-06-13,12
20,59,1,Plane,2022-06-25,11
21,59,1,Plane,2022-06-07,14
22,1,59,Plane,2022-06-17,14
23,1,59,Plane,2022-06-30,15
24,1,59,Plane,2022-06-04,11
25,1,59,Plane,2022-06-16,14
26,1,59,Plane,2022-06-27,10
27,1,59,Plane,2022-06-03,10
28,1,59,Plane,2022-06-23,14
29,1,59,Plane,2022-06-20,13
30,1,59,Plane,2022-06-11,14
31,1,59,Plane,2022-06-26,12
32,1,59,Plane,2022-06-08,11
33,1,59,Plane,2022-06-10,10
34,1,59,Plane,2022-06-12,15
35,1,59,Plane,2022-06-19,12
36,1,59,Plane,2022-06-15,10
37,1,59,Plane,2022-06-05,15
38,1,59,Plane,2022-06-02,11
39,1,59,Plane,2022-06-13,12
40,1,59,Plane,2022-06-25,14
41,1,59,Plane,2022-06-07,14
42,1,59,Plane,2022-06-28,11
43,59,1,Bus,2022-06-18,14
44,59,1,Bus,2022-06-01,13
45,59,1,Bus,2022-06-09,15
46,59,1,Bus,2022-06-04,15
47,59,1,Bus,2022-06-16,10
48,59,1,Bus,2022-06-29,14
49,59,1,Bus,2022-06-27,14
50,59,1,Bus,2022-06-03,15
51,59,1,Bus,2022-06-23,11
52,59,1,Bus,2022-06-11,10
53,59,1,Bus,2022-06-21,10
54,59,1,Bus,2022-06-08,11
55,59,1,Bus,2022-06-10,11
56,59,1,Bus,2022-06-22,13
57,59,1,Bus,2022-06-12,10
58,59,1,Bus,2022-06-15,14
59,59,1,Bus,2022-06-05,10
60,59,1,Bus,2022-06-02,12
61,59,1,Bus,2022-06-24,15
62,59,1,Bus,2022-06-25,12
63,59,1,Bus,2022-06-28,12
64,1,59,Bus,2022-06-17,15
65,1,59,Bus,2022-06-30,10
66,1,59,Bus,2022-06-18,13
67,1,59,Bus,2022-06-09,15
68,1,59,Bus,2022-06-01,15
69,1,59,Bus,2022-06-29,14
70,1,59,Bus,2022-06-27,10
71,1,59,Bus,2022-06-06,12
72,1,59,Bus,2022-06-03,15
73,1,59,Bus,2022-06-14,13
74,1,59,Bus,2022-06-20,12
75,1,59,Bus,2022-06-11,13
76,1,59,Bus,2022-06-26,10
77,1,59,Bus,2022-06-21,10
78,1,59,Bus,2022-06-22,12
79,1,59,Bus,2022-06-12,10
80,1,59,Bus,2022-06-19,13
81,1,59,Bus,2022-06-15,12
82,1,59,Bus,2022-06-02,15
83,1,59,Bus,2022-06-13,11
84,1,59,Bus,2022-06-25,15
85,60,1,Plane,2022-06-17,10
86,60,1,Plane,2022-06-18,14
87,60,1,Plane,2022-06-09,15
88,60,1,Plane,2022-06-01,12
89,60,1,Plane,2022-06-04,13
90,60,1,Plane,2022-06-29,10
91,60,1,Plane,2022-06-06,10
92,60,1,Plane,2022-06-03,13
93,60,1,Plane,2022-06-23,15
94,60,1,Plane,2022-06-14,11
95,60,1,Plane,2022-06-11,14
96,60,1,Plane,2022-06-26,14
97,60,1,Plane,2022-06-21,15
98,60,1,Plane,2022-06-10,10
99,60,1,Plane,2022-06-22,13
100,60,1,Plane,2022-06-12,13
101,60,1,Plane,2022-06-15,13
102,60,1,Plane,2022-06-02,10
103,60,1,Plane,2022-06-24,13
104,60,1,Plane,2022-06-13,15
105,60,1,Plane,2022-06-25,15
106,1,60,Plane,2022-06-17,15
107,1,60,Plane,2022-06-30,15
108,1,60,Plane,2022-06-09,10
109,1,60,Plane,2022-06-01,11
110,1,60,Plane,2022-06-04,11
111,1,60,Plane,2022-06-29,14
112,1,60,Plane,2022-06-06,11
113,1,60,Plane,2022-06-23,13
114,1,60,Plane,2022-06-14,13
115,1,60,Plane,2022-06-20,15
116,1,60,Plane,2022-06-11,13
117,1,60,Plane,2022-06-26,13
118,1,60,Plane,2022-06-21,11
119,1,60,Plane,2022-06-08,12
120,1,60,Plane,2022-06-22,11
121,1,60,Plane,2022-06-12,15
122,1,60,Plane,2022-06-15,12
123,1,60,Plane,2022-06-05,14
124,1,60,Plane,2022-06-02,12
125,1,60,Plane,2022-06-24,13
126,1,60,Plane,2022-06-13,13
127,60,1,Bus,2022-06-17,10
128,60,1,Bus,2022-06-30,11
129,60,1,Bus,2022-06-18,11
130,60,1,Bus,2022-06-01,11
131,60,1,Bus,2022-06-09,14
132,60,1,Bus,2022-06-04,15
133,60,1,Bus,2022-06-16,10
134,60,1,Bus,2022-06-29,15
135,60,1,Bus,2022-06-06,14
136,60,1,Bus,2022-06-03,11
137,60,1,Bus,2022-06-23,11
138,60,1,Bus,2022-06-20,11
